course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
HTML TUTORIAL FOR BEGINNERS,https://youtu.be/HcOc7P5BMi4?si=o0QzH8hMEcw0jHHk,FALSE,0,12771423,14211,1,BEGINNER,02:05:59,WEB DEVELOPMENT,2022-03-22,2022,3,22
LEARN HTML – FULL TUTORIAL FOR BEGINNERS (2022),https://youtu.be/kUMe1FH4CHE?si=N0F7KRkyJf8NQGVP,FALSE,0,2472224,1394,1,BEGINNER,04:07:29,WEB DEVELOPMENT,2022-03-08,2022,3,8
HTML AND CSS TUTORIALS ,https://youtube.com/playlist?list=PLWKjhJtqVAbnSe1qUNMG7AbPmjIG54u88&si=ap5H8AJcnt1pw15w,FALSE,0,729094,25678,10,BEGINNER,71:55:40,WEB DEVELOPMENT,2023-04-17,2023,4,17
HTML & CSS FULL COURSE - BEGINNER TO PRO,https://youtu.be/G3e-cpL7ofc?si=lCmr6VuoQNmqRN-4,FALSE,0,9370807,10199,1,BEGINNER,06:31:23,WEB DEVELOPMENT,2022-02-05,2022,2,5
HTML TUTORIAL FOR BEGINNERS ,https://youtube.com/playlist?list=PLr6-GrHUlVf_ZNmuQSXdS197Oyr1L9sPB&si=DNmvmpqMefaDiM9m,FALSE,0,9261240,12000,30,ALL LEVEL,01:30:00,WEB DEVELOPMENT,2016-09-02,2016,9,2
HTML TUTORIAL FOR BEGINNERS: HTML CRASH COURSE,https://youtu.be/qz0aGYrrlhU?si=_gYbnzZdDnpv5Ekv,FALSE,0,8198582,5018,1,ALL LEVEL,01:09:33,WEB DEVELOPMENT,2021-01-11,2021,1,11
CSS TUTORIAL – FULL COURSE FOR BEGINNERS,https://youtu.be/OXGznpKZ_sA?si=B9pTKYAO1mVlIVFt,FALSE,0,1607282,862,1,ALL LEVEL,11:08:09,WEB DEVELOPMENT,2022-08-30,2022,8,30
"CSS TUTORIAL FOR BEGINNERS | COMPLETE CSS WITH PROJECT, NOTES & CODE",https://youtu.be/ESnrn1kAD4E?si=VtHfM6h2mqvy2R5i,FALSE,0,5349999,6088,1,ALL LEVEL,07:08:23,WEB DEVELOPMENT,2023-06-04,2023,6,4
HTML & CSS FULL COURSE FOR FREE,https://youtu.be/HGTJBPNC-Gw?si=WMOXXO_P9223A7Vh,FALSE,0,1744031,1821,1,ALL LEVEL,04:02:42,WEB DEVELOPMENT,2023-05-31,2023,5,31
COMPLETE CSS - BASICS TO ADVANCED ,https://youtube.com/playlist?list=PLhzIaPMgkbxBk9-drEC0MBPqEOXpVlwY4&si=gARgGF8OhJaP54jR,FALSE,0,311267,2341,21,ALL LEVEL,08:20:00,WEB DEVELOPMENT,2023-02-09,2023,2,9
CSS TUTORIALS FOR BEGINNERS ,https://youtube.com/playlist?list=PL0Zuz27SZ-6Mx9fd9elt80G1bPcySmWit&si=marwvnGEKSG7aG8x,FALSE,0,277753,2348,28,BEGINNER,21:00:00,WEB DEVELOPMENT,2023-05-20,2023,5,20
LEARN CSS IN 20 MINUTES,https://youtu.be/1PnVor36_40?si=FFPaPTnz-c6hNd1E,FALSE,0,1758303,802,1,BEGINNER,23:43:00,WEB DEVELOPMENT,2018-08-23,2018,8,23
JAVASCRIPT FULL COURSE (2024) - BEGINNERS TO PRO,https://youtube.com/playlist?list=PLGjplNEQ1it_oTvuLRNqXfz_v_0pq6unW&si=KRzpViWbkIaLzJlQ,FALSE,0,1978037,17894,14,BEGINNER,14:21:34,WEB DEVELOPMENT,2023-12-15,2023,12,15
JAVASCRIPT TUTORIALS FOR BEGINNERS IN HINDI ,https://youtube.com/playlist?list=PLu0W_9lII9ahR1blWXxgSlL4y9iQBnLpR&si=m3RwbSE1DX00-BOF,FALSE,0,17746345,35679,103,BEGINNER,21:20:43,WEB DEVELOPMENT,2023-11-14,2023,11,14
JAVASCRIPT FULL COURSE - BEGINNER TO PRO,https://youtu.be/SBmSRK3feww?si=1xpWiDW03noZhk34,FALSE,0,3995931,4772,6,BEGINNER,20:46:56,WEB DEVELOPMENT,2024-04-03,2024,4,3
LEARN JAVASCRIPT - FULL COURSE FOR BEGINNERS,https://youtu.be/PkZNo7MFNFg?si=AQh1avc0JLjaoyJK,FALSE,0,16683639,8462,1,BEGINNER,03:26:42,WEB DEVELOPMENT,2018-12-10,2018,12,10
JAVASCRIPT TUTORIAL FOR BEGINNERS ,https://www.youtube.com/live/1h46cNkyXlE?si=W8d5XP9ZgZTZOG-m,FALSE,0,665523,85,1,ALL LEVEL,03:54:45,WEB DEVELOPMENT,2021-02-04,2021,2,4
"BUILD A SIMPLE WEBSITE WITH HTML, CSS, JAVASCRIPT",https://youtu.be/krfUjg0S2uI?si=rH7J83h0z8Gxj4WG,FALSE,0,472914,326,1,ALL LEVEL,07:12:21,WEB DEVELOPMENT,2023-04-26,2023,4,26
JAVASCRIPT FULL COURSE FOR FREE,https://youtu.be/lfmg-EJ8gm4?si=VyF4opNkHCu54hXE,FALSE,0,821168,1581,1,ALL LEVEL,12:00:00,WEB DEVELOPMENT,2024-01-01,2024,1,1
BOOTSTRAP CSS FRAMEWORK - FULL COURSE FOR BEGINNERS,https://youtu.be/-qfEOE4vtxE?si=6XptfNiin6DzaDvt,FALSE,0,1177980,488,1,BEGINNER,02:46:21,WEB DEVELOPMENT,2021-12-07,2021,12,7
BOOTSTRAP 5 TUTORIAL ,https://youtube.com/playlist?list=PL4cUxeGkcC9joIM91nLzd_qaH_AimmdAR&si=Y2Srp9KlzJtq214M,FALSE,0,1568187,2346,20,BEGINNER,03:20:45,WEB DEVELOPMENT,2021-07-01,2021,7,1
BOOTSTRAP 5 CRASH COURSE,https://youtu.be/Jyvffr3aCp0?si=-3p_h5i93hgHiNPf,FALSE,0,415576,415,1,BEGINNER,01:11:14,WEB DEVELOPMENT,2022-08-20,2022,8,20
BOOTSTRAP 5 TUTORIAL IN HINDI ,https://youtube.com/playlist?list=PLdPwRNmUlk0ka9Woqt3Xz4YKr5Fy5wjQT&si=oqp-o-vkLc9Yzls0,FALSE,0,623036,3457,51,BEGINNER,21:25:43,WEB DEVELOPMENT,2023-07-09,2023,7,9
REACT TUTORIAL FOR BEGINNERS,https://youtu.be/SqcY0GlETPk?si=K-lo8xOttOe4aXQm,FALSE,0,2273004,1158,1,BEGINNER,01:21:01,WEB DEVELOPMENT,2023-03-12,2023,3,12
REACT JS TUTORIALS IN HINDI,https://youtube.com/playlist?list=PLu0W_9lII9agx66oZnT6IyhcMIbUMNMdt&si=U7nGGItWRMuhGUjE,FALSE,0,13895056,4568,78,BEGINNER,39:20:56,WEB DEVELOPMENT,2022-03-01,2022,3,1
REACT COURSE - BEGINNER'S TUTORIAL FOR REACT JAVASCRIPT LIBRARY,https://youtu.be/bMknfKXIFA8?si=FEB7O13ow3RAc4cg,FALSE,0,3681464,2472,1,BEGINNER,11:55:09,WEB DEVELOPMENT,2022-01-10,2022,1,10
REACT FULL COURSE FOR FREE ,https://youtu.be/CgkZ7MvWUAA?si=D35WBEBr7D3-ncJ0,FALSE,0,488259,712,1,BEGINNER,04:43:01,WEB DEVELOPMENT,2024-01-16,2024,1,16
REACT JS FULL COURSE 2023 | BUILD AN APP AND MASTER REACT IN 1 HOUR,https://youtu.be/b9eMGE7QtTk?si=Gt3K_kB-cS7piF7G,FALSE,0,1450450,1367,1,ALL LEVEL,01:11:43,WEB DEVELOPMENT,2022-03-04,2022,3,4
REACT JS  TUTORIALS IN TELUGU,https://youtube.com/playlist?list=PLzdWZT-ZJD0-806wl_diOtzcMS8SYTzq3&si=gFU9EkgEWbjiebxL,FALSE,0,320070,4537,74,ALL LEVEL,31:23:34,WEB DEVELOPMENT,2024-02-25,2024,2,25
FULL REACT COURSE 2020 ,https://youtu.be/4UZrsTqkcW4?si=9Kkq93NdHLm3HKi_,FALSE,0,2603257,2119,1,ALL LEVEL,10:07:52,WEB DEVELOPMENT,2020-10-26,2020,10,26
HTML TUTORIAL ,https://www.scaler.com/topics/html/,FALSE,0,15678,678,31,BEGINNER,03:28:00,WEB DEVELOPMENT,2022-03-04,2022,3,4
JAVASCRIPT COURSE WITH CERTIFICATION,https://www.scaler.com/topics/course/javascript-beginners/,FALSE,0,62286,4800,78,BEGINNER,10:14:00,WEB DEVELOPMENT,2022-05-08,2022,5,8
REACT JS FREE COURSE,https://www.scaler.com/topics/course/free-react-js-course/,FALSE,0,3180,320,10,INTERMEDIATE ,09:14:00,WEB DEVELOPMENT,2020-11-08,2020,11,8
CSS TUTORIAL,https://www.scaler.com/topics/css/,FALSE,0,5678,789,48,BEGINNER,08:08:00,WEB DEVELOPMENT,2022-09-08,2022,9,8
BOOTSTRAP TUTORIAL,https://www.scaler.com/topics/bootstrap-tutorial/,FALSE,0,6789,650,49,BEGINNER,06:39:00,WEB DEVELOPMENT,2022-10-09,2022,10,9
ADVANCED CERTIFICATION IN FULL STACK WEB DEVELOPMENT,https://intellipaat.com/web-development-certification/,TRUE,42000,322,288,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2022-03-22,2022,3,22
FULL STACK SPECIALISATION BOOTCAMP,https://intellipaat.com/full-stack-development-bootcamp/,TRUE,42000,200,120,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2022-03-08,2022,3,8
SOFTWARE TSETING BOOTCAMP ,https://intellipaat.com/software-testing-bootcamp/,TRUE,42000,322,110,15,ALL LEVEL,7 months          ,WEB DEVELOPMENT,2022-02-05,2022,2,5
SELINIUM CERTIFICATION COURSE TRAINING,https://intellipaat.com/selenium-training/,TRUE,42000,190,182,15,ALL LEVEL,6 months,WEB DEVELOPMENT,2023-03-04,2023,3,4
EXECUTIVE POST GRADUATE CERTIFICATION IN FULL STACK WEB DEVELOPMENT,https://intellipaat.com/epgc-full-stack-web-development-iit-roorkee-ihub/,TRUE,42000,233,332,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2020-03-05,2020,3,5
ADVANCED CERTIFICATION PROGRAM IN WEB DEVELOPMENT,https://intellipaat.com/pgp-web-development/,TRUE,42000,322,222,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2023-03-07,2023,3,7
FULL STACK JAVA DEVELOPER,https://www.simplilearn.com/java-full-stack-developer-certification,TRUE,42000,200,234,15,ALL LEVEL,6 months,WEB DEVELOPMENT,2022-05-07,2022,5,7
FULL STACK DEVELOPER-MERN STACK,https://www.simplilearn.com/full-stack-developer-course-mern-certification-training/,TRUE,42000,222,124,15,ALL LEVEL,6 months,WEB DEVELOPMENT,2016-01-08,2016,1,8
POST GRADUATE PROGRAM IN FULL STACK WEB DEVELOPMENT,https://www.simplilearn.com/pgp-full-stack-web-development-certification-training-course,TRUE,42000,344,432,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2015-02-05,2015,2,5
FULL STACK DEVELOPER COURSES AND CERTIFICATIONS,https://www.simplilearn.com/full-stack-developer-course-and-certification-iitm-pravartak,TRUE,42000,200,333,20,ALL LEVEL,6 months,WEB DEVELOPMENT,2012-05-01,2012,5,1
INTRODUCTION TO FRONTEND DEVELOPMENT,https://www.coursera.org/learn/programming-with-javascript?specialization=meta-front-end-developer,FALSE,0,309930,10269,4,BEGINNER,18:00:00,WEB DEVELOPMENT,2019-02-15,2019,2,15
PROGRAMMING WITH JAVASCRIPT,https://www.coursera.org/learn/programming-with-javascript?specialization=meta-front-end-developer,FALSE,0,162112,3730,5,BEGINNER,42:00:00,WEB DEVELOPMENT,2019-04-25,2019,4,25
VERSION CONTROL,https://www.coursera.org/learn/introduction-to-version-control?specialization=meta-front-end-developer,FALSE,0,128156,2896,4,BEGINNER,13:00:00,WEB DEVELOPMENT,2018-06-23,2018,6,23
HTML & CSS IN DEPTH,https://www.coursera.org/learn/html-and-css-in-depth?specialization=meta-front-end-developer,FALSE,0,95028,1396,3,BEGINNER,28:00:00,WEB DEVELOPMENT,2019-05-25,2019,5,25
REACT BASICS,https://www.coursera.org/learn/react-basics?specialization=meta-front-end-developer,FALSE,0,118301,1719,4,BEGINNER,26:00:00,WEB DEVELOPMENT,2017-02-20,2017,2,20
ADVANCED REACT,https://www.coursera.org/learn/advanced-react?specialization=meta-front-end-developer,FALSE,0,76370,946,6,INTERMEDIATE,26:00:00,WEB DEVELOPMENT,2020-10-10,2020,10,10
PRINCIPLES OF UI/UX DESIGN,https://www.coursera.org/learn/principles-of-ux-ui-design?specialization=meta-front-end-developer,FALSE,0,85469,674,7,BEGINNER,21:00:00,WEB DEVELOPMENT,2019-02-19,2019,2,19
FRONTEND DEVELOPER CAPSTONE,https://www.coursera.org/learn/meta-front-end-developer-capstone?specialization=meta-front-end-developer,FALSE,0,44880,294,8,INTERMEDIATE,27:00:00,WEB DEVELOPMENT,2021-11-29,2021,11,29
RESPONSIVE WEB DEVELOPMENT,https://www.udemy.com/course/responsive-web-development/?couponCode=IND21PM,TRUE,500,258378,2977,79,ALL LEVEL,06:02:00,WEB DEVELOPMENT,2018-03-28,2018,3,28
LEARN PHP THE RIGHT WAY – PHP TUTORIAL FOR BEGINNERS & ADVANCED ,https://youtube.com/playlist?list=PLr3d3QYzkw2xabQRUpcZ_IBk9W50M9pe-&si=T49IpOCVBDqW_5mC,FALSE,0,2507596,156789,138,ALL LEVEL,23:00:00,WEB DEVELOPMENT,2021-10-10,2021,10,10
PHP COURSE FOR BEGINNERS,https://youtube.com/playlist?list=PL0eyrZgxdwhwwQQZA79OzYwl5ewA7HQih&si=riz6cxEzz0DHuDN5,FALSE,0,521245,126453,30,BEGINNER,34:25:00,WEB DEVELOPMENT,2023-08-31,2023,8,31
PHP FULL COURSE FOR NON-HATERS,https://youtu.be/zZ6vybT1HQs?si=DXB50M7A0657yi0m,FALSE,0,1144375,1400,1,BEGINNER,04:00:00,WEB DEVELOPMENT,2023-03-29,2023,3,29
PHP PROGRAMMING LANGUAGE TUTORIAL - FULL COURSE,https://youtu.be/OK_JCtrrv-c?si=biLxHGF4Z1Rx1rOm,FALSE,0,3807637,2871,1,ALL LEVEL,04:36:28,WEB DEVELOPMENT,2018-06-21,2018,6,21
PHP TUTORIALS IN HINDI,https://youtube.com/playlist?list=PLu0W_9lII9aikXkRE0WxDt1vozo3hnmtR&si=THtRprNNHV-_cuTb,FALSE,0,6289300,627858,82,ALL LEVEL,16:45:00,WEB DEVELOPMENT,2020-07-12,2020,7,12
PHP FULL COURSE | PHP TUTORIAL FOR BEGINNERS,https://www.youtube.com/live/6EukZDFE_Zg?si=KeBhdIrlJa-LH0JY,FALSE,0,312619,62,1,BEGINNER,06:22:35,WEB DEVELOPMENT,2021-08-24,2021,8,24
"WEB APPLICATIONS FOR EVERYBODY COURSE - HTML, PHP, SQL, CSS, JAVASCRIPT",https://youtu.be/xr6uZDRTna0?si=EQaVDEGPNSbc7rfg,FALSE,0,677049,369,1,BEGINNER,14:29:41,WEB DEVELOPMENT,2021-11-04,2021,11,4
PHP FULL COURSE FOR BEGINNERS,https://www.youtube.com/live/q-pn_B5pFi0?si=OjK79lEmH4ckUwTT,FALSE,0,222811,18,1,BEGINNER,03:46:55,WEB DEVELOPMENT,2022-07-22,2022,7,22
 THE COMPLETE 2021 PHP FULL STACK WEB DEVELOPER ,https://youtube.com/playlist?list=PLs-hN447lej6LvquSMoWkGlJAJrhwaVNX&si=kD4aADNLbDe0OtJn,FALSE,0,100576,56789,132,BEGINNER,132:20:59,WEB DEVELOPMENT,2021-08-12,2021,8,12
PHP FULL COURSE IN TELUGU,https://youtube.com/playlist?list=PL2UfVCyiPs-2Jck_lbNOW8b-5YSyZED_A&si=c4NamQi9a7tzIgsI,FALSE,0,29329,11567,43,BEGINNER,07:16:34,WEB DEVELOPMENT,2020-09-15,2020,9,15
A COMPLETE NODE JS COURSE STEP BY STEP,https://youtube.com/playlist?list=PL1BztTYDF-QPdTvgsjf8HOwO4ZVl_LhxS&si=opL9oIXujGgzSIh-,FALSE,0,538535,456798,122,BEGINNER,20:33:45,WEB DEVELOPMENT,2024-01-21,2024,1,21
NODE.JS AND EXPRESS.JS - FULL COURSE,https://youtu.be/Oe421EPjeBE?si=7qjeG52Ee0HHAdUx,FALSE,0,3162193,1997,1,BEGINNER,08:16:47,WEB DEVELOPMENT,2021-04-01,2021,4,1
MASTER NODEJS ,https://youtube.com/playlist?list=PLinedj3B30sDby4Al-i13hQJGQoRQDfPo&si=70DoQ1CZMt_E3H9i,FALSE,0,827123,567896,48,BEGINNER,12:34:43,WEB DEVELOPMENT,2023-07-28,2023,7,28
NODE.JS FULL COURSE FOR BEGINNERS,https://youtu.be/f2EqECiTBL8?si=fjFrcmUroIIo4cxv,FALSE,0,930944,1429,1,BEGINNER,06:51:40,WEB DEVELOPMENT,2021-12-03,2021,12,3
NODE.JS TUTORIAL FOR BEGINNERS: LEARN NODE IN 1 HOUR,https://youtu.be/TlB_eWDSMt4?si=sM24riPXOc9a1uAN,FALSE,0,5565155,2601,1,BEGINNER,01:18:15,WEB DEVELOPMENT,2018-02-18,2018,2,18
MERN STACK CRASH COURSE TUTORIAL,https://youtube.com/playlist?list=PL4cUxeGkcC9iJ_KkrkBZWZRHVwnzLIoUE&si=HG0D1lbokWw5e4eZ,FALSE,0,882357,534568,14,BEGINNER,03:11:23,WEB DEVELOPMENT,2022-07-26,2022,7,26
MERN STACK FULL COURSE 2023 | COMPLETE MERN STACK DEVELOPER COURSE ,https://youtu.be/ORyi6tTMNqE?si=TMoeCDgA8rYdsU4P,FALSE,0,160034,23445,1,ALL LEVEL,11:42:04,WEB DEVELOPMENT,2023-02-19,2023,2,19
MERN STACK FULL TUTORIAL | WEB DEVELOPMENT IN MERN STACK,https://youtu.be/IGF3I85Ks2k?si=LAPy-QtpznBr6T4n,FALSE,0,127888,56789,1,ALL LEVEL,11:23:54,WEB DEVELOPMENT,2023-05-03,2023,5,3
MEAN STACK FULL COURSE 2023 | MEAN STACK PROJECTS,https://youtu.be/48SUuk8e55c?si=iVdsgCJNYZwKto20,FALSE,0,26456,5,1,BEGINNER,11:36:23,WEB DEVELOPMENT,2023-05-03,2023,5,3
MEAN STACK FRONT TO BACK,https://youtube.com/playlist?list=PLillGF-RfqbZMNtaOXJQiDebNXjVapWPZ&si=ZRyEds7CiS7kSTce,FALSE,0,472152,12345,10,BEGINNER,03:10:23,WEB DEVELOPMENT,2017-03-07,2017,3,7
PYTHON BACKEND WEB DEVELOPMENT COURSE (WITH DJANGO),https://youtu.be/jBzwzrDvZ18?si=xCU10MvJa0QZ2Wt_,FALSE,0,1997113,1018,1,BEGINNER,10:11:51,WEB DEVELOPMENT,2021-07-01,2021,7,1
BACKEND PYTHON COURSE ,https://youtube.com/playlist?list=PL_c9BZzLwBRK3wOf3zzl0kz3X9Ec2FwJX&si=06rVwtlT4dKXUTz2,FALSE,0,21245,2345,8,BEGINNER,02:28:34,WEB DEVELOPMENT,2022-04-28,2022,4,8
PYTHON DJANGO FULL STACK DEVELOPER COURSE,https://youtube.com/playlist?list=PLuJZH5pDX4GKrPyVImrii6mZ3kdwAOLvv&si=L4AkiUy8OUywO25E,FALSE,0,213248,34567,29,BEGINNER,14:13:00,WEB DEVELOPMENT,2021-03-22,2021,3,22
PYTHON DJANGO 7 HOUR COURSE,https://youtu.be/PtQiiknWUcI?si=bgcTmIkjwBElEPDA,FALSE,0,1592994,1357,1,BEGINNER,07:10:04,WEB DEVELOPMENT,2021-09-29,2021,9,29
BACKEND DEVELOPMENT FULL COURSE 2023 | LEARN BACKEND FROM SCRATCH ,https://youtu.be/w_L5XMp44tc?si=7tzBtPJGzPpS7IXP,FALSE,0,48240,18,1,BEGINNER,09:13:55,WEB DEVELOPMENT,2023-03-03,2023,3,3
DJANGO 3 COURSE - PYTHON WEB FRAMEWORK,https://youtu.be/04L0BbAcCpQ?si=3aDD41qgWR4GkiXH,FALSE,0,190496,187,1,BEGINNER,07:00:05,WEB DEVELOPMENT,2021-04-06,2021,4,6
FLASK COURSE - PYTHON WEB APPLICATION DEVELOPMENT,https://youtu.be/Qr4QMBUPxWo?si=QVAcehgVVkyS8Zug,FALSE,0,961179,753,1,BEGINNER,06:21:03,WEB DEVELOPMENT,2021-03-10,2021,3,10
MASTER WEB BACKEND,https://youtube.com/playlist?list=PLN4aKSfpk8TTD3g83qIK4PiNsImxWK-6x&si=Z8p2nAqzTHBR1ea7,FALSE,0,48837,34567,49,BEGINNER,50:00:00,WEB DEVELOPMENT,2022-01-29,2022,1,29
C# TUTORIAL - FULL COURSE FOR BEGINNERS,https://youtu.be/GhQdlIFylQ8?si=0PHd1wYJwLhJlQrl,FALSE,0,7969449,8590,1,BEGINNER,04:31:02,PROGRAMMING LANGUAGE,2018-09-07,2018,9,7
FULL COURSE WEB DEVELOPMENT [22 HOURS] | LEARN FULL STACK WEB DEVELOPMENT FROM SCRATCH,https://youtu.be/ZxKM3DCV2kE?si=YXq68gyLiuwp992f,FALSE,0,2135977,913,1,BEGINNER,21:48:31,WEB DEVELOPMENT,2022-04-24,2022,4,24
PYTHON FULL COURSE FOR FREE,https://youtu.be/XKHEtdqhLK8?si=l95uCkQY6CyKDuV9,FALSE,0,16904442,23358,1,BEGINNER,12:00:00,PROGRAMMING LANGUAGE,2021-02-15,2021,2,15
PYTHON FOR BEGINNERS (FULL COURSE),https://youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&si=zK-BOBO28ZI3H3in,FALSE,0,20256310,1456789,100,BEGINNER,25:45:35,PROGRAMMING LANGUAGE,2023-03-07,2023,3,7
PYTHON TUTORIAL - PYTHON FULL COURSE FOR BEGINNERS,https://youtu.be/_uQrJ0TkZlc?si=23FGnkyv9_-gBwEs,FALSE,0,38284022,56016,1,BEGINNER,06:14:06,PROGRAMMING LANGUAGE,2019-02-18,2019,2,18
PYTHON FOR BEGINNERS (FULL COURSE) | PROGRAMMING TUTORIAL,https://youtube.com/playlist?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3&si=Kur0r0-saMISbcF0,FALSE,0,46546476,3456723,111,BEGINNER,28:15:34,PROGRAMMING LANGUAGE,2019-02-09,2019,2,9
PYTHON TUTORIAL FOR BEGINNERS - FULL COURSE (WITH NOTES & PRACTICE QUESTIONS),https://youtu.be/ERCMXc8x7mc?si=4agvwXhD-aig_YVJ,FALSE,0,1339482,1870,1,BEGINNER,10:24:50,PROGRAMMING LANGUAGE,2024-02-12,2024,2,12
PYTHON - BASIC TO ADVANCE,https://youtube.com/playlist?list=PLdo5W4Nhv31bZSiqiOL5ta39vSnBxpOPT&si=J9CZiv3edAsOiCaJ,FALSE,0,4039402,3456789,125,BEGINNER,31:25:00,PROGRAMMING LANGUAGE,2022-11-25,2022,11,25
PYTHON FULL COURSE 2023 | LEARN PYTHON PROGRAMMING IN 12 HOURS,https://youtu.be/cBOcsayH4bY?si=PvQthtwSC_T7PFQf,FALSE,0,22374,10,1,BEGINNER,11:40:58,PROGRAMMING LANGUAGE,2023-07-24,2023,7,24
PYTHON TUTORIAL | PYTHON FULL COURSE FOR BEGINNERS | LEARN PYTHON | INTELLIPAAT,https://www.youtube.com/live/ZnDMgIJG_qc?si=AMRpD5N43vJLMLkm,FALSE,0,46043,31,1,BEGINNER,10:24:50,PROGRAMMING LANGUAGE,2022-12-17,2022,12,17
PYTHON FOR BEGINNERS – FULL COURSE [PROGRAMMING TUTORIAL],https://youtu.be/eWRfhZUzrAc?si=tdZSYFEuyG6N4KpW,FALSE,0,2194944,1032,1,BEGINNER,04:39:59,PROGRAMMING LANGUAGE,2022-08-09,2022,8,9
DATA STRUCTURES AND ALGORITHMS IN PYTHON,https://youtube.com/playlist?list=PLeo1K3hjS3uu_n_a__MI_KktGTLYopZ12&si=1HUAf8SVTVlucDRz,FALSE,0,2398721,23589,20,BEGINNER,03:15:23,DSA,2022-04-21,2022,4,21
DSA USING PYTHON IN HINDI ,https://youtube.com/playlist?list=PL7ersPsTyYt1HnCgrT6Up-pan4yLBpyFs&si=cxiMPuyclCndDz65,FALSE,0,174041,12367,51,BEGINNER,51:00:00,DSA,2024-01-05,2024,1,5
DATA STRUCTURES AND ALGORITHMS IN PYTHON - FULL COURSE FOR BEGINNERS,https://youtu.be/pkYVOmU3MgA?si=kEz7IOG1slFluwn9,FALSE,0,2040840,752,1,BEGINNER,12:30:49,DSA,2021-09-08,2021,9,8
DATA STRUCTURES | PYTHON ,https://youtube.com/playlist?list=PLzgPDYo_3xukPJdH6hVQ6Iic7KiJuoA-l&si=32sZd7Sb_Tb-lgqa,FALSE,0,2025050,234535,77,BEGINNER,19:00:45,DSA,2021-08-12,2021,8,12
DATA STRUCTURES AND ALGORITHMS USING PYTHON | MEGA VIDEO | DSA IN PYTHON IN 1 VIDEO,https://youtu.be/f9Aje_cN_CY?si=0PNW9n3KbcvYZJMY,FALSE,0,507057,501,1,BEGINNER,11:41:21,DSA,2023-01-17,2023,1,17
DATA STRUCTURES & ALGORITHMS (PYTHON),https://youtube.com/playlist?list=PLVG0Zju2HPJc9T6MuS1k1Ksm1YiPfhLco&si=eQpwaGFZK6R2n9AI,FALSE,0,53422,360,36,BEGINNER,09:00:00,DSA,2024-01-09,2024,1,9
COMPLETE DATA STRUCTURE WITH PYTHON,https://youtube.com/playlist?list=PLVBKjEIdL9bvb12F0FGjPgNcc_qO2V3Fq&si=IPxci3juAzf0tmk5,FALSE,0,6200,160,6,BEGINNER,03:31:00,DSA,2022-08-16,2022,8,16
DATA STRUCTURES EASY TO ADVANCED COURSE - FULL TUTORIAL FROM A GOOGLE ENGINEER,https://youtu.be/RBSGKlAvoiM?si=nXkTuSAKIqmnwn45,FALSE,0,6181935,2018,1,BEGINNER,08:03:16,DSA,2019-09-19,2019,9,19
DATA STRUCTURE AND ALGORITHMS IN PYTHON HINDI,https://youtube.com/playlist?list=PL13aQMQVPecA33n8w9S-cwD9geQsY8JhU&si=nRNlzEBHC9a3bdeC,FALSE,0,130793,34567,21,BEGINNER,01:24:00,DSA,2021-03-22,2021,3,22
DATA SCIENCE WITH PYTHON,https://youtu.be/mkv5mxYu0Wk?si=vBQcKpTNfeRNz-Io,FALSE,0,261223,549,1,BEGINNER,00:56:51,DATA SCIENCE,2018-05-15,2018,5,15
DATA SCIENCE FOR BEGINNERS,https://youtu.be/jNeUBWrrRsQ?si=9xQyFJu7LTrVFmkX,FALSE,0,134160,79,1,BEGINNER,00:43:54,DATA SCIENCE,2018-05-04,2018,5,4
PYTHON FOR DATA SCIENCE FULL COURSE - 9 HOURS,https://youtu.be/-6RqxhNO2yY?si=wXGoccDGHhpjSFzi,FALSE,0,357733,79,1,BEGINNER,09:22:25,DATA SCIENCE,2020-03-15,2020,3,15
DATA ANALYSIS WITH PYTHON - FULL COURSE FOR BEGINNERS ,https://youtu.be/r-uOLxNrNk8?si=oY0q4OprCPP17As5,FALSE,0,3162746,934,1,BEGINNER,04:22:21,DATA SCIENCE,2020-04-15,2020,4,15
DATA SCIENCE COURSE | DATA SCIENCE FULL COURSE | DATA SCIENTIST FOR BEGINNERS,https://www.youtube.com/live/a5KmkeQ714k?si=CEXkGdpyfQNml4h1,FALSE,0,1774232,253,1,BEGINNER,09:26:14,DATA SCIENCE,2021-08-08,2021,8,8
PYTHON AND DATA SCIENCE FULL COURSE | DATA SCIENCE WITH PYTHON COURSE,https://www.youtube.com/live/QCvZtDZtQ00?si=pkHI0oYmNMybs7sh,FALSE,0,19420,7,1,BEGINNER,10:28:59,DATA SCIENCE,2023-03-27,2023,3,27
PYTHON FOR DATA SCIENCE | DATA SCIENCE WITH PYTHON | PYTHON DATA SCIENCE TUTORIAL ,https://youtu.be/mNdbcHECGN4?si=ExXO9VowEKZfxVhF,FALSE,0,871566,406,1,BEGINNER,06:01:14,DATA SCIENCE,2019-07-06,2019,7,6
