course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
C ++ PROGRAMMING LANGUAGE,https://learn.microsoft.com/en-us/training/modules/cpp-first-program/,TRUE,42000,344,432,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2015-02-05,2015,2,5
C ++ PROGRAMMING LANGUAGE,"https://alison.com/course/introduction-to-structures-classes-and-c-plus-plus-standard-library?utm_source=google&utm_medium=cpc&utm_campaign=PPC_Tier-5_First-Click_Alison-Courses&utm_adgroup=Course-2875_Introduction-to-Structures_-Classes,-and-C++-Standard-Library&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVOh7_w2Hs3ebi8OCGaS9j66mZQgBIFUr1a0DdXr3GjXoWHwpH6V_CxoC5HoQAvD_BwE&gad_source=1",TRUE,42000,200,333,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2012-05-01,2012,5,1
C ++ PROGRAMMING LANGUAGE,https://www.codingninjas.com/job-bootcamp-web-development?utm_source=google&utm_medium=%5Bsearch%5D&utm_campaign=21025321648_161919826034_b_coding%20classes%20online_,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,PROGRAMMING LANGUAGE,2022-02-05,2022,2,5
C ++ PROGRAMMING LANGUAGE,https://www.codecademy.com/catalog/language/c-plus-plus,TRUE,42000,190,332,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-04,2023,3,4
C ++ PROGRAMMING LANGUAGE,https://www.nareshit.in/cpp-training/,TRUE,42000,233,332,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2020-03-05,2020,3,5
C ++ PROGRAMMING LANGUAGE,https://www.scaler.com/topics/course/cpp-beginners/,TRUE,42000,322,222,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-07,2023,3,7
C ++ PROGRAMMING LANGUAGE,https://www.codechef.com/learn/course/college-programming-cpp,TRUE,42000,200,234,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2022-05-07,2022,5,7
DSA USING C++,https://www.geeksforgeeks.org/data-structures-algorithms-using-c-plus-plus/,TRUE,42000,190,332,15,ALL LEVEL,6 months,DSA,2023-03-04,2023,3,4
DSA USING C++,https://www.javatpoint.com/cpp-dsa,TRUE,42000,233,332,20,ALL LEVEL,6 months,DSA,2020-03-05,2020,3,5
DSA USING C++,https://www.edx.org/learn/data-structures/ibm-data-structures-algorithms-using-c,TRUE,42000,322,222,20,ALL LEVEL,6 months,DSA,2023-03-07,2023,3,7
DSA USING C++,https://codingblocks.com/data-structures-and-algorithms-using-c-plus-plus.html,TRUE,42000,200,234,15,ALL LEVEL,6 months,DSA,2022-05-07,2022,5,7
DSA USING C++,https://www.scaler.com/topics/course/cpp-data-structures/,TRUE,42000,222,124,15,ALL LEVEL,6 months,DSA,2016-01-08,2016,1,8
DSA USING C++,https://www.codechef.com/learn/course/cpp-beginner-v2-p2,TRUE,42000,344,432,20,ALL LEVEL,6 months,DSA,2015-02-05,2015,2,5
DSA USING C++,https://www.codechef.com/roadmap/cpp-dsa,TRUE,42000,200,333,20,ALL LEVEL,6 months,DSA,2012-05-01,2012,5,1
DSA USING C++,https://www.geeksforgeeks.org/courses/dsa-self-paced?source=google&medium=cpc&device=m&keyword=data%20structures%20and%20algorithms%20course&matchtype=b&campaignid=21104441956&adgroup=160438012512&gad_source=1&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVOEfA8E4lrylPm9yGvwWGyHvumyfZKbC5Fk4Qv2WV_GIj1Pl2IYLTBoCUiEQAvD_BwE,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,DSA,2022-02-05,2022,2,5
DSA USING C++,https://www.codingninjas.com/cpp-data-structures-and-algorithms-course,TRUE,42000,190,332,15,ALL LEVEL,6 months,DSA,2023-03-04,2023,3,4
DSA USING C++,https://www.apnacollege.in/course/cpp-dsa,TRUE,42000,233,332,20,ALL LEVEL,6 months,DSA,202-03-050,2020,3,5
DSA USING C++,https://www.tutorialspoint.com/cplusplus/cpp_data_structures.htm,TRUE,42000,322,222,20,ALL LEVEL,6 months,DSA,2023-03-07,2023,3,7
